pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
51,41,63,50,12,18,55,杨桥西路,07:00:00,2013-07-08,福州,44
87,91,162,170,92,77,127,河口区,07:00:00,2013-07-08,东营,135
112,85,196,179,110,143,178,监理站,07:00:00,2013-07-08,德州,124
32,31,63,70,21,18,35,卧龙桥,07:00:00,2013-07-08,杭州,33
41,39,57,53,13,15,44,五四北路,07:00:00,2013-07-08,福州,42
99,86,161,156,65,74,152,市环保局,07:00:00,2013-07-08,东营,126
133,86,193,176,103,136,219,黑马集团,07:00:00,2013-07-08,德州,125
39,50,102,76,24,36,42,甘井子,07:00:00,2013-07-08,大连,54
51,39,63,68,20,18,56,云栖,07:00:00,2013-07-08,杭州,42
97,86,156,154,61,65,147,开发区,07:00:00,2013-07-08,东营,126
160,94,184,169,91,119,273,华宇技校,07:00:00,2013-07-08,德州,141
28,20,59,61,17,16,30,开发区,07:00:00,2013-07-08,大连,22
108,102,155,162,76,63,170,市环保公司,07:00:00,2013-07-08,东营,157
100,78,178,169,90,107,154,儿童乐园,07:00:00,2013-07-08,德州,109
32,36,59,55,14,16,35,青泥洼桥,07:00:00,2013-07-08,大连,39
114,102,149,152,57,55,182,现河采油厂,07:00:00,2013-07-08,东营,158
26,28,50,57,15,12,28,星海三站,07:00:00,2013-07-08,大连,30
90,96,179,182,116,110,134,第二水厂,07:00:00,2013-07-08,滨州,145
19,23,57,46,11,15,21,呈贡新区,07:00:00,2013-07-08,昆明,25
84,75,184,183,117,119,121,华电二区,07:00:00,2013-07-08,保定,103
12,19,38,59,16,9,13,旅顺,07:00:00,2013-07-08,大连,21
80,78,168,170,93,88,114,北中新校,07:00:00,2013-07-08,滨州,109
19,31,50,55,14,12,21,碧鸡广场,07:00:00,2013-07-08,昆明,34
97,98,177,173,99,106,147,监测站,07:00:00,2013-07-08,保定,150
10,19,33,55,14,8,11,金州,07:00:00,2013-07-08,大连,20
73,78,168,173,99,88,99,市环保局,07:00:00,2013-07-08,滨州,110
27,34,50,53,13,12,29,龙泉镇,07:00:00,2013-07-08,昆明,37
82,92,177,183,117,106,117,胶片厂,07:00:00,2013-07-08,保定,138
6,19,25,55,14,6,6,双D港,07:00:00,2013-07-08,大连,20
108,99,162,164,80,77,170,银河物流,07:00:00,2013-07-08,滨州,152
16,30,42,55,14,10,17,金鼎山,07:00:00,2013-07-08,昆明,32
94,94,165,177,106,82,141,地表水厂,07:00:00,2013-07-08,保定,142
93,89,159,168,88,71,139,科灵化工,07:00:00,2013-07-08,滨州,131
19,28,38,50,12,9,20,东风东路,07:00:00,2013-07-08,昆明,30
59,89,158,171,94,70,72,接待中心,07:00:00,2013-07-08,保定,131
11,12,21,25,6,5,12,西山森林公园,07:00:00,2013-07-08,昆明,13
60,75,132,153,60,48,74,四陆医院,07:00:00,2013-07-08,西宁,104
65,55,102,61,17,36,84,学院路,07:00:00,2013-07-08,银川,63
88,105,155,144,53,64,130,工大金川校区,07:00:00,2013-07-08,呼和浩特,164
83,102,154,169,90,61,120,坞城,07:00:00,2013-07-08,太原,157
60,74,127,152,57,46,74,市环境监测站,07:00:00,2013-07-08,西宁,102
75,57,93,74,23,32,103,宁安大街,07:00:00,2013-07-08,银川,68
66,113,110,137,50,39,85,化肥厂生活区,07:00:00,2013-07-08,呼和浩特,180
60,82,139,163,79,51,73,晋源,07:00:00,2013-07-08,太原,117
60,69,119,142,52,43,73,省医药仓库,07:00:00,2013-07-08,西宁,91
69,56,87,66,19,29,91,银湖巷,07:00:00,2013-07-08,银川,66
67,102,119,165,83,43,88,南寨,07:00:00,2013-07-08,太原,158
43,44,82,89,30,27,46,第五水厂,07:00:00,2013-07-08,西宁,47
62,58,80,68,20,26,77,贺兰山东路,07:00:00,2013-07-08,银川,69
58,77,115,157,68,41,69,金胜,07:00:00,2013-07-08,太原,108
62,51,74,61,17,23,78,贺兰山马莲口,07:00:00,2013-07-08,银川,56
64,92,105,156,65,37,82,尖草坪,07:00:00,2013-07-08,太原,137
65,58,68,70,21,20,84,宁化生活区,07:00:00,2013-07-08,银川,70
67,117,102,154,62,36,87,涧河,07:00:00,2013-07-08,太原,188
55,85,99,153,60,35,63,桃园,07:00:00,2013-07-08,太原,124
110,77,174,155,63,101,173,供水公司,07:00:00,2013-07-08,郑州,108
14,16,21,25,6,5,15,龙华路环保局宿舍,07:00:00,2013-07-08,海口,17
70,79,97,155,63,34,94,小店,07:00:00,2013-07-08,太原,111
125,88,164,153,59,81,204,四十七中,07:00:00,2013-07-08,郑州,129
15,23,21,29,7,5,16,海南师范大学,07:00:00,2013-07-08,海口,25
54,78,89,156,65,30,61,上兰,07:00:00,2013-07-08,太原,110
136,99,163,147,54,78,226,烟厂,07:00:00,2013-07-08,郑州,151
15,15,17,21,5,4,16,海南大学,07:00:00,2013-07-08,海口,16
80,64,161,144,53,75,114,市监测站,07:00:00,2013-07-08,郑州,82
12,9,8,13,3,2,13,东寨港,07:00:00,2013-07-08,海口,10
63,80,124,153,60,45,79,职工医院,07:00:00,2013-07-08,兰州,114
58,65,154,154,62,61,70,唐家沱,07:00:00,2013-07-08,重庆,84
108,73,158,129,47,69,170,银行学校,07:00:00,2013-07-08,郑州,99
70,92,99,155,63,35,93,兰炼宾馆,07:00:00,2013-07-08,兰州,138
65,73,147,161,74,54,83,蔡家,07:00:00,2013-07-08,重庆,100
143,104,156,151,56,66,240,岗李水库,07:00:00,2013-07-08,郑州,161
51,81,84,172,96,28,56,生物制品所,07:00:00,2013-07-08,兰州,115
86,71,137,153,59,50,125,虎溪,07:00:00,2013-07-08,重庆,95
116,87,147,105,37,54,185,河医大,07:00:00,2013-07-08,郑州,128
53,72,80,102,36,26,59,榆中兰大校区,07:00:00,2013-07-08,兰州,97
55,72,119,156,66,43,64,白市驿,07:00:00,2013-07-08,重庆,97
51,71,76,119,43,24,55,铁路设计院,07:00:00,2013-07-08,兰州,96
45,65,117,157,67,42,49,解放碑,07:00:00,2013-07-08,重庆,83
55,67,110,139,51,39,64,鱼新街,07:00:00,2013-07-08,重庆,87
43,65,95,142,52,33,46,南坪,07:00:00,2013-07-08,重庆,84
44,62,93,117,42,32,47,空港,07:00:00,2013-07-08,重庆,78
48,68,89,134,49,30,52,新山村,07:00:00,2013-07-08,重庆,89
31,38,84,142,52,28,34,缙云山,07:00:00,2013-07-08,重庆,41
44,67,82,127,46,27,48,杨家坪,07:00:00,2013-07-08,重庆,87
37,62,80,134,49,26,40,天生,07:00:00,2013-07-08,重庆,77
pm10_index_rt,pm10_index_24,pm25_index_rt,pm25_index_24,pm25_24,pm25_rt,pm10_rt,staname,time,date,city,pm10_24
